Interfaces,Methods,Roles,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,
,,B/D,Cust-B/D,MM,DPM,Firm,Class Disp,Firm Disp,Help Desk,System,Root,Exch B/D,ProdMaint,TFL,EOP,HELP_DESK_OMT,BOOTH_OMT,DISPLAY_OMT,CROWD_OMT,REPORTING,OPRA,(NR) = Non-repudiation logging is ON,,,,,,,
,getFCQS,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setFCQS,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getMinSizeForBlockTrade,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getBookDepthSize,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setMinSizeForBlockTrade,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setBookDepthSize,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getAllocationStrategyForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getLongTradingPropertyAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getMinQuoteCreditDefaultSizeAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getRFQTimeoutAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getContinuousQuotePeriodForCreditAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getMinSizeForBlockTradeAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getContingencyTimeToLiveAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getIPPMinSizeAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getOpeningPriceDelayAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getOpeningPriceRateAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getBookDepthSizeAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getQuoteLockTimerAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getQuoteLockNotificationTimerAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getQuoteTriggerTimerAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getDoubleTradingPropertyAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getRFQResponseRatioAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getPrescribedWidthRatioAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getFastMarketSpreadMultiplierAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getDPMParticipationPercentageAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getTimeRangeTradingPropertyAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getOpeningPeriodTimeRangeAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getPreClosingTimePeriodAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getBooleanTradingPropertyAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getIPPTradeThroughFlagAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,removeTradingProperty,,,,,,,,x (NR),x,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getAllocationStrategies,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getAllocationStrategiesForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getDpmRightsScaleForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getDpmRightsScales,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getDpmRightsSplitRate,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getDpmRightsSplitRateForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setAllocationStrategies,,,,,,,,x (NR),x,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setDpmRightsScales,,,,,,,,x (NR),x,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setDpmRightsSplitRate,,,,,,,,x (NR),x,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setUMAEqualDistributionWeightForDPM,,,,,,,,x (NR),x,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,setUMASplitRate,,,,,,,,x (NR),x,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getUMAEqualDistributionWeightForDPM,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getUMAEqualDistributionWeightForDPMForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getUMASplitRate,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getUMASplitRateForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setQuoteLockMinimumTradeQuantity,,,,,,,,x(NR),x,x,,x,x,,x(NR),,,,,,,,,,,,,
,getQuoteLockMinimumTradeQuantity,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getQuoteLockMinimumTradeQuantityAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getSOrderTimeToLive,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setSOrderTimeToLive,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getSOrderTimeToCreate,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setSOrderTimeToCreate,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getSOrderTimeToCreateBeforeClose,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setSOrderTimeToCreateBeforeClose,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getSOrderTimeToRejectFill,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setSOrderTimeToRejectFill,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getPOrderTimeToLive,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setPOrderTimeToLive,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getPAOrderTimeToLive,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setPAOrderTimeToLive,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getETFFlag,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setETFFlag,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getLotSize,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setLotSize,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getIPPToleranceAmount,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setIPPToleranceAmount,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getNeedsDpmQuoteToOpen,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setNeedsDpmQuoteToOpen,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getTradeType,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setTradeType,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getProductOpenProcedureType,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setProductOpenProcedureType,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getETFFlagForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getLotSizeForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getIPPToleranceAmountForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getNeedsDpmQuoteToOpenForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getTradeTypeForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getProductOpenProcedureTypeForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getSatisfactionAlertFlagForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getLinkageEnabledFlagForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getFPQSForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getFCQSForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getSOrderTimeToLiveForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getSOrderTimeToCreateForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getSOrderTimeToCreateBeforeCloseForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getSOrderTimeToRejectFillForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getPOrderTimeToLiveForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getPAOrderTimeToLiveForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getPreferredDpmRightsRate,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setPreferredDpmRightsRate,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getPreferredDpmRightsRateForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getAuctionTimeToLive,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setAuctionTimeToLive,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getAuctionMinPriceIncrement,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setAuctionMinPriceIncrement,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getAuctionMinQuoters,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setAuctionMinQuoters,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getAuctionReceiverTypes,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setAuctionReceiverTypes,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getInternalizationGuaranteedPercentage,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setInternalizationGuaranteedPercentage,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getAuctionOrderTicksAwayFromNBBO,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setAuctionOrderTicksAwayFromNBBO,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getAutoExEligibleStrategyTypes,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setAutoExEligibleStrategyTypes,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getAuctionEnabled,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setAuctionEnabled,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getAuctionMinOrderSizeForTicksAboveNBBO,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,setAuctionMinOrderSizeForTicksAboveNBBO,,,,,,,,x (NR),,x,,x (NR),x (NR),,x (NR),,,,,,,,,,,,,
,getAuctionTimeToLiveForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getAuctionMinPriceIncrementForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getAuctionMinQuotersForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getAuctionReceiverTypesForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getInternalizationGuaranteedPercentageForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getAuctionOrderTicksAwayFromNBBOForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getAutoExEligibleStrategyTypesForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getAuctionEnabledForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,getAuctionMinOrderSizeForTicksAboveNBBOForAllClasses,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
TradingSessionMaintenanceService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,addTradingSession,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,buildTemplateClassMapping,,,,,,,,x,x,x,,x,,,x,,,,,,,,,,,,,
,getUnassignedClasses,,,,,,,,x,,x,,x,,,x,,,,,,,,,,,,,
,modifyTradingSession,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,removeTradingSession,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addTradingSessionTemplate,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addTradingSessionTemplateV2,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,modifyTradingSessionTemplate,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,modifyTradingSessionTemplateV2,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,addClassToTemplate,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,removeTradingSessionTemplate,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,createElementsForSession,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,createElementsForSessionV2,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,modifyTradingSessionElement,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,modifyTradingSessionElementV2,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,removeTradingSessionElement,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,abortEndOfSession,,,,,,,,x (NR),,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,priceAdjustmentsComplete,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,registerClient,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,serviceEstablished,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,serviceLost,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,setProductStatesForSession,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,setProductStatesForElement,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,startEndOfDay,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,startEndOfSession,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,startPriceAdjustments,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,startSession,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,fireEvent,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,createCurrentBusinessDay,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,registerClientWithSessions,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,setProductStatesForSessionForGroup,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,setProductStatesForSessionV2,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,setProductStatesForElementV2,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,startSessionForServers,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,startEndOfSessionForServers,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,startEndOfDayForServers,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
,priceAdjustmentsCompleteForServers,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,fireEventForServers,,,,,,,,x (NR),x,x,,x (NR),,,x (NR),,,,,,,,,,,,,
,startPriceAdjustmentsForServers,,,,,,,,x (NR),x (NR),x,,x (NR),,,x (NR),,,,,,,,,,,,,
TradingSessionClient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,propagateEvent,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,propagateEventWithContext,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,getClientId,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
TradingSessionService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getClassesBySession,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getClassesBySessionForType,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductsBySessionForClass,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getStrategiesBySessionForClass,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,acceptStrategy,x,x,x,,x,,,x,x,x,x,x,x,,x,x,,x,,,,,,,,,,
,getStrategiesForSession,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductTypesForSession,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getEventHistory,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getTradingSessions,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getTradingSessionByName,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getEndOfSessionStrategies,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getEndOfDayStrategies,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getAllTemplates,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getAllTemplatesV2,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTradingSessionsByTime,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getCurrentTradingSessionElements,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getCurrentTradingSessionElementsV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getCurrentElementsForSession,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getCurrentElementsForSessionV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getElementsForSession,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getElementsForSessionV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getClassesForElement,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getClassesForSession,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getClassStatesForElement,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getClassStatesForSession,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getClassesForTemplate,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getCurrentTradingSessionsForClasses,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getTradingSessionForClass,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getElementByKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getElementByKeyV2,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getElementsForTemplate,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getElementsForTemplateV2,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTemplatesForSession,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTemplatesForSessionV2,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTemplate,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getTemplateV2,,,,,,,,x,,x,,x,x,,x,,,,,,,,,,,,,
,getClassBySessionForKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getClassBySessionForSymbol,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getCurrentBusinessDay,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductBySessionForKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getProductBySessionForName,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getStrategyBySessionForKey,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getStrategiesByComponent,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
,getTradingSessionRegistrationNames,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getTradingSessionRoutingGroupNames,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getEventHistoryV2,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getRegisteredServersEventState,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getClassesForSessionByGroup,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,isBusinessDayCurrent,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,
PropertyService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,setProperties,,,,,,,,x(NR),x,x,,x(NR),x(NR),,x(NR),x(NR),,x(NR),,,,,,,,,,
,getProperties,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,,,,,,,,
,getPropertyKeys,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,,,,,,,,
,removeProperties,,,,,,,,x(NR),x,x,,x(NR),x(NR),,x(NR),x(NR),,x(NR),,,,,,,,,,
,getPropertiesForPartialKey,x,x,x,,x,x,x,x,x,x,,x,x,x,x,,x,x,x,x,,,,,,,,
TradingSessionEventStateService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeTradingSessionEventState,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,unsubscribeTradingSessionEventState,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
ProductMaintenanceEventService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,subscribeProductStatusByKey,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,subscribeClassStatus,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,unsubscribeClassStatus,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,unsubscribeProductStatusByKey,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,subscribeLinkageStatus,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
,unsubscribeLinkageStatus,,,,,,,,x,x,x,,x,x,,x,,,,,,,,,,,,,
UserActivityService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,getTraderProductActivityByTime,x,x,x,,x,,x,x,x,x,x,,x,,x,x,,x,,,,,,,,,,
,getTraderClassActivityByTime,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,
UserDefinitionService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,defineUser,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,defineSessionProfileUser,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
UserMaintenanceService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,addUser,,,,,,,,x (NR),x,x,,,,,x (NR),,,,,,,,,,,,,
,getSystemPreferences,,,,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
,removeSystemPreferencesByPrefix,,,,,,,,x (NR),,x,,,,,x (NR),,,,,,,,,,,,,
,removeSystemPreferencesForUser,,,,,,,,x (NR),,x,,,,,x (NR),,,,,,,,,,,,,
,setSystemPreferences,,,,,,,,x (NR),,x,,,,,x (NR),,,,,,,,,,,,,
,setSystemPreferencesForUser,,,,,,,,x (NR),,x,,,,,x (NR),,,,,,,,,,,,,
,setUserEnablement,,,,,,,,x (NR),x,x,,,,,x (NR),,,,,,,,,,,,,
,updateUser,,,,,,,,x (NR),x,x,,,,,x (NR),,,,,,,,,,,,,
,getUserByKey,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getAllUsers,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getUsersByRole,,,,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
,getUsersByAssignedClass,,,,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
,getUsersByType,,,,,,,,x,,x,,,x,,x,,,,,,,,,,,,,
,getDpmJointAccountForClass,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getDpmsForClass,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getDpmsForJointAccount,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getDpmParticipantsForClass,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,addSessionProfileUser,,,,,,,,x(NR),x,x,,,,,x(NR),,,,,,,,,,,,,
,updateSessionProfileUser,,,,,,,,x(NR),x,x,,,,,x(NR),,,,,,,,,,,,,
,getSessionProfileUserByKey,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSessionProfileUserByAcronym,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSessionProfileUserByUserId,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getAllSessionProfileUsers,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSessionProfileUsersByRole,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSessionProfileUsersByAssignedClass,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSessionProfileUsersByType,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSessionProfileDpmJointAccountForClass,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
,getSessionProfileDpmsForClass,,,,,,,,x,x,x,,,x,,x,,,,,,,,,,,,,
