Interfaces,Methods,Roles,,,,,,,,,,,,,,,,,,,,Comments,,,,,,,
,,B/D,Cust-B/D,MM,DPM,Firm,Class Disp,Firm Disp,Help Desk,System,Root,Exch B/D,ProdMaint,TFL,EOP,HELP_DESK_OMT,BOOTH_OMT,DISPLAY_OMT,CROWD_OMT,REPORTING,OPRA,(NR) = Non-repudiation logging is ON,,,,,,,
,acceptUpdate,x,x,x,,x,,x,x (NR),,x,x,,,,x,x,,x,,,,,,,,,,
,getOrder,,,,,,,x,x,,x,,,,,x,,,,,,need a new method getOrderByIdForUser,,,,,,,
,getOrdersForUsers,,,,,,,x,x,,x,,,,,x,,,,,,,,,,,,,
,publishOrdersForUser,x,x,x,,x,,x,x,x,x,x,,,,x,x,,x,,,,,,,,,,
,publishOrdersForFirm,,,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,
,getOrdersForProduct,,,,,,,x,x,,x,,,,,x,,,,,,,,,,,,,
,getOrders,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getPendingAdjustmentOrdersByProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,getPendingAdjustmentOrdersByClass,x,x,x,,x,,x,x,,x,x,,,,x,x,,x,,,,,,,,,,
,acceptCrossingOrder,x,x,x,,x,,,x (NR),,x,x,,,,x,x,,x,,,,,,,,,,
,queryOrderHistory,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
,getOrderForProduct,x,x,x,,x,,x,x,,x,x,,,,x,x,x,x,,,,,,,,,,
,getAssociatedOrders,,,x,x,,,,x,x,x,,,,,x,x,x,x,,,,,,,,,,
,getOrdersByOrderTypeAndClass,,,x,x,,,,x,x,x,,,,,x,x,x,x,,,,,,,,,,
,getOrdersByOrderTypeAndProduct,,,x,x,,,,x,x,x,,,,,x,x,x,x,,,,,,,,,,
,getOrderById,x,x,x,,x,,x,x,,x,x,,x,,x,x,x,x,,,,,,,,,,
,acceptStrategyUpdate,x,x,x,,x,,x,x (NR),,x,x,,,,x,x,,x,,,,,,,,,,
,acceptStrategyOrder,x,x,x,,x,,x,x (NR),,x,x,,,,x,x,,x,,,,,,,,,,
,acceptStrategyCancelReplace,x,x,x,,x,,x,x (NR),,x,x,,,,x,x,,x,,,,,,,,,,
,acceptInternalizationOrders,x,x,x,,x,,,x (NR),x,x,x,,,,x,x,,x,,,,,,,,,,
,cancelOrderForUsers,x,x,x,,x,,,x (NR),x,x,x,,,,x,x,,x,,,,,,,,,,
,getOrderCountForUsers,x,x,x,,x,,,x (NR),x,x,x,,,,x,x,,x,,,,,,,,,,
,acceptCrossingOrderV2,x,x,x,,x,,,x (NR),,x,x,,,,Off for Version 1 for all roles!,,,,,,,,,,,,,
,acceptInternalizationStrategyOrders,x,x,x,,x,,,x (NR),x,x,x,,,,x,x,,x,,,,,,,,,,
,publishAllMessagesForDestination,,,,,,,,x,x,x,,,,,x,x,x,x,,,,,,,,,,
,getOrderByIdV2,,,,,,,,x,x,x,,,,,x,x,x,x,,,,,,,,,,
,getOrderByORSID,,,,,,,,x,x,x,,,,,x,x,x,x,,,,,,,,,,
,getOrdersByClassAndTime,,,,,,,,x,x,x,,,,,x,,x,x,,,,,,,,,,
,getOrdersByProductAndTime,,,,,,,,x,x,x,,,,,x,,x,x,,,,,,,,,,
,getOrdersByLocation,,,,,,,,x,x,x,,,,,x,x,x,x,,,,,,,,,,
,getOrdersByLocationType,,,,,,,,x,x,x,,,,,x,,x,,,,,,,,,,,
,queryOrderHistoryV2,,,,,,,,x,x,x,,,,,x,x,x,x,,,,,,,,,,
,acceptDirectRoute,,,,,,,,x,x,x,,,,,x,x,,x,,,,,,,,,,
,acceptManualCancel,,,,,,,,x,x,x,,,,,x,x,,x,,,,,,,,,,
,acceptManualCancelReplace,,,,,,,,x,x,x,,,,,x,x,,x,,,,,,,,,,
,acceptManualUpdate,,,,,,,,x,x,x,,,,,x,x,,x,,,,,,,,,,
,markMessageAsRead,,,,,,,,x,x,x,,,,,x,x,,x,,,,,,,,,,
,acceptMessageRoute,,,,,,,,x,x,x,,,,,x,x,,x,,,,,,,,,,
,acceptManualFillReport,,,,,,,,x,x,x,,,,,x,x,,x,,,,,,,,,,
,cancelOrderForUsersV2,,,,,,,,x (NR),,x,,,,,,,,,,,,,,,,,,
,cancelOrdersForRoutingGroups,,,,,,,,x (NR),,x,,,,,,,,,,,,,,,,,,
,cancelOrdersForUser,,,,,,,,x (NR),,x,,,,,,,,,,,,,,,,,,
,acceptStrategyOrderV2,x,x,x,,x,,x,x (NR),,x,x,,,,x,x,,x,,,,,,,,,,
,acceptStrategyCancelReplaceV2,x,x,x,,x,,x,x (NR),,x,x,,,,x,x,,x,,,,,,,,,,
,acceptInternalizationStrategyOrdersV2,x,x,x,,x,,,x (NR),x,x,x,,,,x,x,,x,,,,,,,,,,
,cancelOrdersForAllUsersByClass,,,,,,,,x (NR),,x,,,,,,,,,,,,,,,,,,
,cancelOrdersForAllUsersByProduct,,,,,,,,x (NR),,x,,,,,,,,,,,,,,,,,,
,cancelOrdersForUserByOrsId,,,,,,,,x (NR),,x,,,,,,,,,,,,,,,,,,
OrderMaintenanceService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,orderAccepted,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptFillReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptCancelReport,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,acceptNothingDone,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,processReinstateOrder,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,applyOrderUpdate,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,applyOrderCancel,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,waitForCompletion,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,
,deleteOrderFromBook,,,,,,,,x,x,x,,,,,x,,,,,,,,,,,,,
OrderRoutingService,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
